name,rating,reviews,avg_salary,description
Schneider Electric,4.1,5.1k,25.7k,Industrial Automation | Bengaluru +121 other locations
CBRE,4.1,5.1k,19.1k,Real Estate | Hyderabad +92 other locations
SBI Life Insurance Company,3.7,5.1k,12.1k,Insurance | Mumbai +656 other locations
TVS Motor,3.8,5.1k,16.3k,Automobile | Hosur +351 other locations
Persistent Systems,3.6,5k,46.6k,IT Services & Consulting | Pune +42 other locations
State Bank of India,3.8,5k,11.7k,Banking | Mumbai +622 other locations
Atos,3.8,4.9k,33.7k,IT Services & Consulting | Pune +49 other locations
KEC International,4.0,4.9k,13.5k,Engineering & Construction | Mumbai +316 other locations
vivo,4.1,4.9k,12.8k,Consumer Electronics & Appliances | Noida +414 other locations
ITC Infotech,3.8,4.9k,30.1k,IT Services & Consulting | Bengaluru +68 other locations
Amdocs,3.6,4.9k,37.9k,Software Product | Pune +24 other locations
Ecom Express,4.1,4.8k,9.4k,Logistics | Gurugram +777 other locations
JBM Group,3.9,4.8k,14k,Auto Components | Gurugram +118 other locations
Varun Beverages,4.0,4.8k,12.3k,Beverage | New Delhi +383 other locations
Eviden,3.6,4.8k,27.3k,IT Services & Consulting | Pune +39 other locations
Nagarro,3.9,4.7k,33.2k,IT Services & Consulting | Gurugram +48 other locations
Utkarsh Small Finance Bank,3.6,4.7k,11.5k,Banking | Varanasi +416 other locations
Randstad,3.7,4.7k,17k,Recruitment | Hyderabad +365 other locations
Bosch,4.1,4.7k,21.1k,Auto Components | Bengaluru +132 other locations
EY Global Delivery Services ( EY GDS),3.5,4.7k,52.1k,IT Services & Consulting | Bengaluru +56 other locations
Hewlett Packard Enterprise,4.0,4.6k,27.6k,IT Services & Consulting | Bengaluru +104 other locations
L&T Finance,3.9,4.6k,11.6k,NBFC | Mumbai +647 other locations
Cars24,3.5,4.6k,15.6k,Internet | Gurugram +172 other locations
Aditya Birla Fashion and Retail,4.0,4.6k,13.2k,Fashion & Textile | Bengaluru +293 other locations
Havells,3.9,4.6k,15.3k,Electrical Equipment | Noida +264 other locations
Mahindra Logistics,3.7,4.6k,12.9k,Logistics | Mumbai +233 other locations
Intas Pharmaceuticals,4.1,4.6k,17.4k,Pharma | Ahmedabad +150 other locations
R1 RCM,3.8,4.6k,22.4k,BPO | Hyderabad +48 other locations
Home Credit Finance,4.0,4.5k,9.3k,NBFC | Gurugram +139 other locations
Dell,3.8,4.5k,29.2k,Consumer Electronics & Appliances | Bengaluru +114 other locations
Tata AIA Life Insurance,3.9,4.5k,14.5k,Insurance | Mumbai +448 other locations
Hetero,3.9,4.5k,15.1k,Pharma | Hyderabad +70 other locations
Deutsche Bank,3.9,4.5k,37.7k,Banking | Pune +42 other locations
OPPO,3.9,4.4k,11.8k,Consumer Electronics & Appliances | Greater Noida +406 other locations
Berger Paints,3.7,4.4k,10.5k,Chemicals | Kolkata +364 other locations
Hyundai Motor India Limited,4.1,4.4k,14.4k,Automobile | Chennai +291 other locations
Lenskart,3.3,4.4k,13.1k,Internet | New Delhi +249 other locations
Motilal Oswal Financial Services,3.7,4.4k,13.2k,Financial Services | Mumbai +169 other locations
TeamLease Services,3.9,4.4k,16.4k,Recruitment | Bengaluru +403 other locations
VE Commercial Vehicles,3.9,4.3k,14.4k,Automobile | Indore +180 other locations
Thermax Limited,4.2,4.3k,13.3k,Industrial Machinery | Pune +256 other locations
Jubilant Foods Works,3.7,4.2k,9.5k,Hospitality | Noida +267 other locations
Carelon Global Solutions,3.9,4.2k,28.9k,IT Services & Consulting | Bengaluru +20 other locations
Macleods Pharmaceuticals,3.7,4.2k,15.7k,Pharma | Mumbai +136 other locations
Aakash Educational Services,3.2,4.2k,14.2k,Education & Training | New Delhi +249 other locations
Bajaj Auto,3.8,4.2k,14.6k,Automobile | Pune +324 other locations
Jindal Steel Limited,3.9,4.1k,16.1k,Iron & Steel | Angul +173 other locations
LG Electronics,3.8,4.1k,11.3k,Consumer Electronics & Appliances | Pune +300 other locations
State Street Corporation,3.5,4.1k,33.5k,Financial Services | Bengaluru +35 other locations
Kogta Financial India Limited,4.7,4.1k,1.9k,NBFC | Jaipur +260 other locations
Hindalco Industries,4.2,4.1k,12.8k,Metals & Mining | Sambalpur +130 other locations
Royal Enfield,4.2,4.1k,15k,Automobile | Chennai +373 other locations
HDFC ERGO General Insurance,4.0,4k,12.1k,Insurance | Mumbai +325 other locations
John Deere,4.0,4k,15.7k,Industrial Machinery | Pune +154 other locations
DCB Bank,3.8,4k,9.8k,Banking | Mumbai +345 other locations
Tata Communications,3.9,4k,23.6k,Telecom | Pune +100 other locations
RBL Bank,3.5,4k,18.5k,Banking | Mumbai +290 other locations
Cummins,4.3,4k,15.7k,Industrial Machinery | Pune +115 other locations
Publicis Sapient,3.2,4k,32.8k,IT Services & Consulting | Bengaluru +46 other locations
Bank of America,4.1,3.9k,29.9k,Banking | Gurugram +34 other locations
Alembic Pharmaceuticals,3.9,3.9k,15.4k,Pharma | Vadodara +187 other locations
Pidilite Industries,4.2,3.9k,11.7k,Chemicals | Mumbai +319 other locations
Oyo Rooms,3.0,3.9k,14k,Internet | Gurugram +121 other locations
