name,rating,reviews,avg_salary,description
Otis Elevator,4.1,1k,4.1k,Industrial Machinery | Bengaluru +71 other locations
Allianz Technology,4.0,1k,6.8k,IT Services & Consulting | Pune +14 other locations
Encora,3.4,1k,8.4k,IT Services & Consulting | Bengaluru +19 other locations
Crompton Greaves Consumer Electricals,3.7,1k,4.1k,Consumer Electronics & Appliances | Mumbai +108 other locations
Malabar Gold and Diamonds,4.1,1k,2.7k,Jewellery | Hyderabad +132 other locations
Lakshmi Machine Works,3.8,1k,4.3k,Industrial Machinery | Coimbatore +30 other locations
Lakshmi Machine Works,3.8,1k,4.3k,Industrial Machinery | Coimbatore +30 other locations
Ceasefire Industries,3.1,1k,2.4k,Industrial Machinery | New Delhi +76 other locations
Hitachi Energy,4.0,1k,7.5k,Power | Chennai +37 other locations
IB Group,3.7,1k,3.3k,Food Processing | Rajnandgaon +151 other locations
Shyam Steel Group,3.5,1k,3.7k,Iron & Steel | Kolkata +86 other locations
GVPR Engineers,3.8,1k,3k,Engineering & Construction | Hyderabad +93 other locations
Innodata India Private Limited,3.6,1k,3k,IT Services & Consulting | Noida +23 other locations
Vertiv,3.9,1k,4.6k,Electronics Manufacturing | Pune +54 other locations
Amara Raja Group,4.1,1k,3.5k,Auto Components | Tirupati +80 other locations
ALLEN Career Institute,3.8,1k,4.3k,Education & Training | Kota +71 other locations
NBC Bearings,3.9,1k,3.7k,Auto Components | Jaipur +28 other locations
iQor Global Services,3.3,1k,2.6k,BPO | Noida +50 other locations
Uber,4.1,1k,8.5k,Internet | Hyderabad +52 other locations
SitusAMC,3.2,1k,5.3k,Financial Services | Bengaluru +18 other locations
Vistaar Finance,3.9,1k,2k,NBFC | Bengaluru +202 other locations
Incheon Motors,4.7,1k,335,Automobile | Kochi +16 other locations
Hitachi Payment Services,3.6,1k,3.4k,FinTech | Mumbai +87 other locations
Atlas Copco,4.1,1k,5.4k,Industrial Machinery | Pune +59 other locations
Temenos,3.1,1k,8.7k,Software Product | Chennai +11 other locations
Suzuki Motorcycle,4.0,1k,3.9k,Automobile | Gurugram +120 other locations
Atlas Copco,4.1,1k,5.3k,Industrial Machinery | Pune +59 other locations
Fortrea Development India Private Limited,3.9,1k,4.9k,Clinical Research | Bengaluru +11 other locations
Tata Cummins,4.4,1k,1.4k,Auto Components | Jamshedpur +44 other locations
MakeMyTrip,3.4,1k,7.4k,Internet | Gurugram +46 other locations
Perfetti Van Melle,4.2,1k,2.8k,FMCG | Gurugram +161 other locations
Visionet Systems,3.4,1k,5.9k,IT Services & Consulting | Bengaluru +17 other locations
Syrma SGS Technologies,4.0,1k,3.4k,Electronics Manufacturing | Chennai +23 other locations
Lemon Tree Hotels,4.0,1k,2.8k,Hospitality | New Delhi +79 other locations
Secure Meters,3.9,1k,4.6k,Electronics Manufacturing | Udaipur +73 other locations
United Breweries,3.3,1k,3.4k,Beverage | Bengaluru +105 other locations
SYSKA LED Lights,2.9,1k,2.5k,Consumer Electronics & Appliances | Pune +154 other locations
Thomas Cook,4.0,1k,3.6k,Travel & Tourism | Mumbai +80 other locations
TradeIndia (Infocom Network Private Limited),3.4,1k,4.3k,Internet | New Delhi +42 other locations
Bounteous x Accolite,3.2,1k,8.2k,IT Services & Consulting | Bengaluru +15 other locations
eClinicalWorks,3.6,1k,4.9k,Software Product | Mumbai +20 other locations
Comviva Technology,2.9,1k,6.2k,Software Product | Gurugram +19 other locations
Vaco Binary Semantics,3.1,1k,5.3k,IT Services & Consulting | Gurugram +49 other locations
Pristyn Care,3.1,999,4.2k,Internet | Gurugram +33 other locations
AstraZeneca,3.9,997,7.4k,Pharma | Chennai +49 other locations
Colgate Palmolive,4.0,996,4.3k,FMCG | Mumbai +120 other locations
Škoda Auto Volkswagen,4.0,997,4.7k,Automobile | Pune +48 other locations
Colgate Palmolive,4.0,996,4.3k,FMCG | Mumbai +120 other locations
MasterCard,3.8,995,12.5k,FinTech | Pune +15 other locations
Collins Aerospace,3.8,995,7.7k,Defence & Aerospace | Bengaluru +12 other locations
BDR Pharmaceuticals International,4.1,993,2k,Pharma | Vadodara +29 other locations
Mastek,3.5,992,6.7k,IT Services & Consulting | Mumbai +23 other locations
Birla Opus,4.0,993,2.4k,Chemicals | Mumbai +272 other locations
Siemens Energy,4.1,990,5.9k,Power | Pune +50 other locations
Cult.fit,3.6,990,4.2k,Fitness & Wellness | Bengaluru +41 other locations
Star Cement,4.0,988,3.2k,Building Material | Guwahati +79 other locations
Arohan Financial Services,3.9,987,2.1k,NBFC | Kolkata +236 other locations
Amazon Web Services,3.8,988,6.8k,IT Services & Consulting | Bengaluru +62 other locations
CarDekho Group,3.6,986,5k,Internet | Gurugram +81 other locations
JW Marriott,4.2,986,2k,Hospitality | Mumbai +41 other locations
Aparajitha Corporate Services,3.8,985,3.1k,Legal | Madurai +97 other locations
Mahindra Automotives,3.8,984,5.1k,Automobile | Pune +131 other locations
Rebel Foods,3.7,984,3.4k,Hospitality | Mumbai +79 other locations
Xebia,3.0,984,6.4k,IT Services & Consulting | Gurugram +23 other locations
Everest Industries,3.8,982,3.2k,Building Material | Mumbai +97 other locations
Tiger Analytics,3.7,981,10k,IT Services & Consulting | Bengaluru +17 other locations
Skipper,3.9,984,3.1k,Industrial Machinery | Kolkata +92 other locations
Softenger,4.0,981,2.7k,IT Services & Consulting | Pune +32 other locations
C&S Electric,3.9,980,3.8k,Electrical Equipment | Noida +57 other locations
Pizza Hut,4.0,979,2k,Hospitality | New Delhi +128 other locations
Merino Industries,3.8,978,3.5k,Building Material | New Delhi +82 other locations
Entain,3.6,975,7.3k,IT Services & Consulting | Hyderabad +13 other locations
Lumina Datamatics,3.2,976,4.6k,IT Services & Consulting | Mumbai +20 other locations
Capacit'e Infraprojects,3.7,974,3.3k,Engineering & Construction | Mumbai +35 other locations
Lowe's,4.1,975,10.2k,Retail | Bengaluru +9 other locations
Barclays Global Service Centre,3.9,973,7.9k,IT Services & Consulting | Pune +13 other locations
TechnipFMC,3.9,972,4.9k,Engineering & Construction | Hyderabad +43 other locations
General Mills,4.1,972,5.1k,Food Processing | Mumbai +54 other locations
Quantiphi Analytics Solutions Private Limited,3.1,972,7.4k,IT Services & Consulting | Bengaluru +18 other locations
J B Chemicals And Pharmaceuticals,3.9,971,3.3k,Pharma | Mumbai +96 other locations
Technip Energies,4.0,969,5.3k,Engineering & Construction | Noida +42 other locations
Altisource,3.4,969,3.6k,Real Estate | Bengaluru +9 other locations
Hiranandani Financial Services,4.4,969,991,NBFC | Mumbai +135 other locations
Wonder Cement,4.2,969,3.6k,Building Material | Nimbahera +110 other locations
Natco Pharma,4.0,968,3.5k,Pharma | Hyderabad +65 other locations
VIP Industries,3.7,968,3k,Retail | Mumbai +96 other locations
VeeTechnologies,3.9,967,4.4k,IT Services & Consulting | Bengaluru +39 other locations
Napino Auto & Electronics,3.8,966,4k,Auto Components | Gurugram +25 other locations
Pricol,3.9,965,4.3k,Auto Components | Coimbatore +34 other locations
Yokohama Off-Highway Tires,3.7,964,4.1k,Auto Components | Bharuch +38 other locations
JSW Group,3.8,965,4.3k,Iron & Steel | Mumbai +97 other locations
Kendriya Vidyalaya Sangathan,4.3,964,1.7k,Education & Training | New Delhi +233 other locations
Financial Software & Systems,3.6,962,5.2k,Software Product | Chennai +35 other locations
Jyothy Labs,4.1,962,2.2k,FMCG | Mumbai +195 other locations
Guidehouse,3.6,961,5.7k,Management Consulting | Chennai +19 other locations
National Payments Corporation of India,4.0,961,4.2k,FinTech | Mumbai +11 other locations
LOREAL,3.9,960,3.8k,Beauty & Personal Care | Mumbai +99 other locations
Motherson Sumi Wiring,3.7,961,3.9k,Electrical Equipment | Noida +43 other locations
Marsh McLennan,3.8,960,8.4k,Management Consulting | Mumbai +24 other locations
Shriram General Insurance,3.6,958,2.9k,Insurance | Jaipur +200 other locations
Astral Adhesives,3.9,957,2.4k,Chemicals | Ahmedabad +161 other locations
Salcomp Manufacturing,4.0,957,4.4k,Electronics Manufacturing | Chennai +28 other locations
Gannon Dunkerley & Co.,3.3,954,2k,Engineering & Construction | Kolkata +81 other locations
KEI Industries,4.2,954,3.2k,Electrical Equipment | New Delhi +104 other locations
Defence Research & Development Organisation,4.5,952,3.9k,Defence & Aerospace | Hyderabad +58 other locations
Nasser S. Al Hajri Corporation,3.6,951,1.8k,Engineering & Construction | Chennai +55 other locations
Mando Automotive,4.0,949,4.3k,Auto Components | Chennai +21 other locations
Pramerica Life Insurance,3.7,951,2.4k,Insurance | Gurugram +126 other locations
Episource,3.9,949,3.2k,IT Services & Consulting | Chennai +19 other locations
ICCS,3.0,945,2.9k,BPO | Noida +31 other locations
Amphenol Interconnect,4.2,943,3.7k,Electrical Equipment | Pune +19 other locations
Psp Projects,3.9,944,3k,Engineering & Construction | Ahmedabad +56 other locations
Jubilant Pharmova,3.7,942,3.4k,Pharma | Noida +60 other locations
Petrofac,4.2,941,2.4k,Oil & Gas | Chennai +42 other locations
SFO Technologies,3.4,941,4.7k,Electronics Manufacturing | Bengaluru +16 other locations
Signify,3.4,940,4.5k,Consumer Electronics & Appliances | Bengaluru +84 other locations
Reliance Power,4.1,939,3.2k,Power | Singrauli +43 other locations
KMV Projects Limited,4.2,938,2.3k,Engineering & Construction | Hyderabad +72 other locations
Tikona Infinet,3.4,937,2.7k,Telecom | Mumbai +45 other locations
Timken,3.9,936,4.2k,Industrial Machinery | Jamshedpur +44 other locations
Xceedance,3.5,937,6.4k,IT Services & Consulting | Gurugram +14 other locations
Adani Enterprises,3.6,935,4.7k,Metals & Mining | Ahmedabad +76 other locations
Velocis Systems,3.8,934,5.2k,IT Services & Consulting | New Delhi +52 other locations
Jaro Education,3.2,934,2.3k,Education & Training | Mumbai +24 other locations
Aristo Pharmaceuticals,4.0,935,2.4k,Pharma | Mumbai +108 other locations
Hathway,3.3,933,3.5k,Telecom | Mumbai +58 other locations
FLSmidth,3.6,934,4.2k,Industrial Machinery | Chennai +25 other locations
Knight Frank,4.1,933,3.4k,Real Estate | Mumbai +51 other locations
Bhanzu,3.8,930,1.2k,EdTech | Bengaluru +14 other locations
Cohance Lifesciences,3.8,931,3.2k,Pharma | Hyderabad +24 other locations
Navayuga Engineering Company,3.9,930,2.4k,Engineering & Construction | Hyderabad +73 other locations
Godfrey Phillips India,4.0,928,3.2k,FMCG | New Delhi +125 other locations
Volvo,4.0,923,5.5k,Automobile | Bengaluru +40 other locations
Naukri,4.1,923,3.2k,Internet | Noida +71 other locations
Bayer,4.0,923,4.4k,Pharma | Bengaluru +117 other locations
Aircel,4.4,922,1.2k,Telecom | New Delhi +113 other locations
FastInfo,4.2,925,890,Internet | Kolkata +8 other locations
Tafe Motors & Tractors,3.9,922,2.9k,Industrial Machinery | Bhopal +72 other locations
Apotex Research,3.8,920,2.8k,Pharma | Bengaluru +14 other locations
Sandhar Technologies,3.7,918,3.5k,Auto Components | Gurugram +31 other locations
LanceSoft,3.2,917,5.5k,Recruitment | Hyderabad +30 other locations
GE Healthcare,3.9,917,6.1k,Medical Equipment | Bengaluru +35 other locations
Sundaram Clayton,3.9,916,2.8k,Auto Components | Chennai +30 other locations
CIEL HR,3.9,917,3.2k,Recruitment | Bengaluru +110 other locations
Experis IT,3.0,915,3.7k,Recruitment | Bengaluru +34 other locations
Medhaj Techno Concept,4.0,914,2k,Management Consulting | Lucknow +152 other locations
Netscribes,2.7,915,3k,Analytics & KPO | Kolkata +17 other locations
Medha Servo Drives,4.2,915,3.1k,Electrical Equipment | Hyderabad +55 other locations
Intellipaat Software Solutions,3.9,914,2k,EdTech | Bengaluru +17 other locations
Schlumberger,3.8,913,5.5k,Oil & Gas | Pune +37 other locations
Nirma,4.2,912,3.1k,FMCG | Bhavnagar +67 other locations
Nityo Infotech,3.3,913,5k,IT Services & Consulting | Bengaluru +32 other locations
SKH Metals,4.0,911,2.8k,Auto Components | Gurugram +27 other locations
Deepak Fertilisers and Petrochemicals,4.1,911,3.5k,Chemicals | Mumbai +58 other locations
OCS Group,4.1,913,2.6k,Facility Management Services | Mumbai +57 other locations
Test Yantra Software Solutions,3.0,912,25.8k,IT Services & Consulting | Bengaluru +19 other locations
JSW Paints,3.8,911,3.4k,Chemicals | Mumbai +169 other locations
Neel Metal Products,4.0,908,2.7k,Auto Components | Gurugram +38 other locations
Target,4.0,908,6.9k,Retail | Bengaluru +17 other locations
Steag Energy Services,4.3,907,2.7k,Power | Jharsuguda +64 other locations
Aviva Life Insurance India,3.5,907,2.6k,Insurance | Gurugram +122 other locations
Re Sustainability Limited,3.8,907,3.1k,Waste Management | Hyderabad +84 other locations
HomeLane,3.3,906,4.3k,Architecture & Interior Design | Bengaluru +36 other locations
"Commonwealth Bank of Australia, India",2.8,904,7.9k,Financial Services | Bengaluru +14 other locations
HT Media,3.1,902,4.7k,Media & Entertainment | New Delhi +43 other locations
Ashirvad Pipes,3.8,901,3k,Building Material | Bengaluru +107 other locations
Ashirvad Pipes,3.8,901,3k,Building Material | Bengaluru +107 other locations
Egis India Consulting Engineers,4.2,900,2.3k,Engineering & Construction | Gurugram +111 other locations
Yashoda Hospitals,3.9,898,3.4k,Healthcare | Hyderabad +30 other locations
Alok Industries,3.5,897,3.3k,Fashion & Textile | Dadra & Nagar Haveli +34 other locations
Bosch Chassis Systems,4.1,897,2.7k,Auto Components | Pune +25 other locations
Michelin,3.7,896,5k,Auto Components | Pune +46 other locations
Volkswagen,4.1,893,3k,Automobile | Pune +102 other locations
Musashi Auto Parts,3.8,891,2.8k,Auto Components | Bengaluru +26 other locations
Vijay Sales,4.1,890,2.8k,Retail | Mumbai +51 other locations
Orient Electric,3.7,890,3.3k,Consumer Electronics & Appliances | New Delhi +87 other locations
Vedanta Resources,3.7,891,4.9k,Metals & Mining | Jharsuguda +72 other locations
Greenlam Industries,4.1,889,3.2k,Furniture & Furnishing | New Delhi +118 other locations
Sona Comstar,4.0,888,4k,Auto Components | Gurugram +26 other locations
Updater Services,3.7,886,2.9k,Facility Management Services | Chennai +100 other locations
MAS Financial Services,3.7,886,2.3k,NBFC | Ahmedabad +144 other locations
M3M India,4.0,887,3.3k,Real Estate | Gurugram +11 other locations
AJIO,3.6,885,2.8k,Internet | Bengaluru +199 other locations
ACL Digital,3.6,884,6.5k,IT Services & Consulting | Bengaluru +27 other locations
TNQ Tech Private Limited,3.5,883,4k,Printing & Publishing | Chennai +13 other locations
BGR Energy Systems,3.9,883,3.2k,Engineering & Construction | Chennai +53 other locations
Wakefit,4.0,883,3k,Furniture & Furnishing | Bengaluru +58 other locations
Marks & Spencer,3.9,883,3.1k,Retail | New Delhi +61 other locations
Zudio,3.9,880,2k,Retail | New Delhi +139 other locations
Carborundum Universal Limited,3.7,879,3.6k,Industrial Machinery | Chennai +132 other locations
Tata Chemicals,3.9,878,2.8k,Chemicals | Jamnagar +84 other locations
Satya MicroCapital,3.6,877,2.1k,NBFC | New Delhi +190 other locations
RAMTeCH Software Solutions,3.7,877,3.4k,IT Services & Consulting | Hyderabad +35 other locations
Centum Electronics,3.5,876,3.7k,Electronics Manufacturing | Bengaluru +18 other locations
Ageas Federal Life Insurance,3.4,873,2.4k,Insurance | Mumbai +124 other locations
Simplilearn,3.8,875,4.6k,EdTech | Bengaluru +10 other locations
Magna International,3.8,872,5.6k,Auto Components | Pune +22 other locations
WSP,4.2,872,3.9k,Management Consulting | Bengaluru +32 other locations
H&M,3.8,872,3.2k,Fashion & Textile | Bengaluru +57 other locations
Nibav Lifts,4.0,872,1.7k,Industrial Machinery | Chennai +41 other locations
Acme Cleantech Solutions,4.0,870,2.6k,Power | Gurugram +101 other locations
Epsilon,3.6,870,7.4k,Marketing & Advertising | Bengaluru +16 other locations
Next Education India,3.2,870,2.7k,EdTech | Hyderabad +95 other locations
Athena BPO,3.3,868,2.8k,BPO | Mumbai +37 other locations
Tata Starbucks,4.1,868,1.9k,Hospitality | Mumbai +58 other locations
Ups Logistics,3.6,868,4.5k,Logistics | Pune +37 other locations
Torry Harris Integration Solutions,4.1,867,4.6k,IT Services & Consulting | Bengaluru +10 other locations
Apar Industries,4.1,868,3.4k,Semiconductors | Mumbai +71 other locations
Shilpa Medicare,3.5,867,3.8k,Pharma | Hyderabad +30 other locations
Silaris Informations,3.0,867,2.9k,BPO | New Delhi +22 other locations
IDEMIA,3.8,866,3.7k,Electronics Manufacturing | Noida +53 other locations
C.R.I. Pumps,3.9,866,2.7k,Industrial Machinery | Coimbatore +70 other locations
Future Focus Infotech,3.3,865,4.1k,IT Services & Consulting | Bengaluru +58 other locations
Panacea Biotec,3.6,865,2.8k,Biotechnology | Baddi +72 other locations
Truhome Finance,3.7,863,2.6k,Financial Services | Mumbai +161 other locations
Parag Milk Foods,4.0,862,2.6k,Food Processing | Mumbai +90 other locations
Parekh Integrated Services,4.0,862,2.7k,Logistics | Mumbai +75 other locations
Fedbank Financial Services,4.0,861,3k,NBFC | Mumbai +164 other locations
Wipro PARI,3.3,862,3.7k,Industrial Automation | Pune +27 other locations
National Health Mission,3.4,861,2.2k,Healthcare | Guwahati +281 other locations
Ather Energy,4.1,860,4.5k,Automobile | Bengaluru +72 other locations
MOURI Tech,3.6,860,6.3k,IT Services & Consulting | Hyderabad +10 other locations
Nlb Services,3.6,859,3.1k,Recruitment | Noida +20 other locations
LEAD School,3.2,858,3.2k,EdTech | Mumbai +103 other locations
Precision Infomatic M Pvt Ltd,3.8,857,2.8k,IT Services & Consulting | Chennai +90 other locations
Bechtel,3.9,855,3.7k,Engineering & Construction | Gurugram +31 other locations
Simplilearn,3.8,873,4.6k,EdTech | Bengaluru +10 other locations
Tata Hitachi Construction Machinery,4.0,854,3.1k,Industrial Machinery | Kharagpur +76 other locations
India Shelter Finance Corporation,3.8,854,2.3k,NBFC | Gurugram +184 other locations
Nexdigm,3.7,852,3.4k,Management Consulting | Pune +13 other locations
Impact Infotech Pvt. Ltd.,3.4,852,2.8k,IT Services & Consulting | Mumbai +76 other locations
Porter,3.5,851,3.8k,Internet | Bengaluru +32 other locations
Rico Auto Industries,3.8,851,3.5k,Auto Components | Gurugram +32 other locations
Shaktiman Tirth Agro Technology,3.9,850,3k,Industrial Machinery | Rajkot +66 other locations
Tata Power Solar,4.1,849,3.2k,Power | Bengaluru +90 other locations
Swaraj Tractors,4.0,850,2.9k,Automobile | Sahibzada Ajit Singh Nagar +107 other locations
KGISL,3.1,848,5.4k,IT Services & Consulting | Coimbatore +21 other locations
Rohan Builders,4.1,848,2.3k,Real Estate | Pune +67 other locations
enGen Global,3.9,848,5.7k,IT Services & Consulting | Chennai +6 other locations
Jaya Hind Industries,3.7,846,2.7k,Auto Components | Pune +37 other locations
Mahindra First Choice,3.8,846,3k,Internet | Mumbai +118 other locations
Casagrand,3.8,843,4.3k,Real Estate | Chennai +19 other locations
Clarivate,3.7,844,6.7k,Analytics & KPO | Bengaluru +17 other locations
Serco,4.2,842,1.2k,Analytics & KPO | Mumbai +41 other locations
Victora Auto Private Limited,3.9,841,3.3k,Auto Components | Faridabad +31 other locations
Metso,4.1,841,3.2k,Metals & Mining | Alwar +47 other locations
Guardian India,3.8,839,4.5k,Insurance | Chennai +13 other locations
Union Bank of India,3.8,838,2.8k,Banking | Mumbai +149 other locations
UKG,2.9,839,6.2k,Software Product | Noida +12 other locations
Duck Creek Technologies,4.5,838,1.3k,Software Product | Mumbai +9 other locations
Mahindra Tractors,4.1,838,2.6k,Automobile | Nagpur +125 other locations
AuthBridge Research Services,3.2,837,3.2k,IT Services & Consulting | Gurugram +21 other locations
Sanden Vikas,3.9,837,2.7k,Auto Components | Faridabad +33 other locations
Fareportal,3.0,836,3.6k,Internet | Gurugram +14 other locations
Royal Sundaram General Insurance,3.8,835,2.9k,Insurance | Chennai +105 other locations
IBS Software Services,3.5,835,6.6k,Software Product | Kochi +19 other locations
Sutherland Healthcare Solutions,3.7,836,4.1k,Analytics & KPO | Hyderabad +14 other locations
Bank of India,3.9,834,2.7k,Banking | Mumbai +184 other locations
Arvind Lifestyle Brands,4.0,832,1.9k,Fashion & Textile | Bengaluru +86 other locations
Greaves Cotton,4.0,831,2.9k,Auto Components | Chhatrapati Sambhajinagar +50 other locations
FIITJEE,3.2,831,2k,Education & Training | New Delhi +47 other locations
HP India,3.8,831,5.9k,Consumer Electronics & Appliances | Bengaluru +63 other locations
Lumen Technologies,3.9,830,4k,Hardware & Networking | Bengaluru +14 other locations
Luxoft,3.6,829,5.2k,IT Services & Consulting | Bengaluru +22 other locations
Eris Lifesciences,3.6,828,2.4k,Pharma | Ahmedabad +91 other locations
Rockwell Automation,3.7,828,5.8k,Industrial Automation | Pune +22 other locations
Medusind Solutions,3.4,827,3k,IT Services & Consulting | Chennai +11 other locations
Ford Business Solutions,4.1,828,4.1k,IT Services & Consulting | Chennai +51 other locations
Feedback Infrastructure Services,3.4,826,2.4k,Engineering & Construction | Gurugram +128 other locations
Consolidated Contractors,4.3,827,1.3k,Engineering & Construction | Mumbai +55 other locations
Encore Capital Group,3.9,826,1.8k,Financial Services | Gurugram +8 other locations
Artech Infosystems,3.3,824,3.9k,Recruitment | Bengaluru +21 other locations
Baxter International,3.8,824,3.7k,Healthcare | Bengaluru +32 other locations
eTeam,3.2,822,3.7k,Recruitment | Bengaluru +20 other locations
Ramco Systems,3.8,822,5.3k,Software Product | Chennai +28 other locations
Teamware Solutions,4.2,822,3.2k,Recruitment | Hyderabad +24 other locations
Poly Medicure,3.5,820,2.9k,Medical Equipment | Faridabad +46 other locations
Y-Axis Overseas Careers,4.2,818,1.5k,Other | Hyderabad +17 other locations
Punj Lloyd,3.9,817,1.6k,Engineering & Construction | Gurugram +70 other locations
Five-Star Business Finance,4.1,818,2.1k,NBFC | Chennai +249 other locations
Bpo Convergence,3.4,817,2k,BPO | Hyderabad +36 other locations
BDO,3.2,816,5.9k,Accounting & Auditing | Mumbai +34 other locations
Rodic Consultants,4.2,816,1.9k,Engineering & Construction | Patna +134 other locations
Rashmi Group,3.5,814,3.2k,Iron & Steel | Kharagpur +31 other locations
Linde India,3.9,814,3.7k,Chemicals | Vadodara +56 other locations
RR kabel,4.1,814,2.9k,Electrical Equipment | Vadodara +115 other locations
Qinecsa Solutions,2.7,813,2.9k,Clinical Research | Mysuru +18 other locations
Sunbeam Auto,3.9,813,2.9k,Auto Components | Gurugram +30 other locations
Huhtamaki,3.9,813,2.7k,Packaging | Mumbai +44 other locations
Integra Software Services,3.7,813,3.1k,IT Services & Consulting | Puducherry +19 other locations
Zydus Healthcare,4.0,813,2.2k,Pharma | Mumbai +108 other locations
DBG Technology,3.7,814,2.2k,Electronics Manufacturing | Rewari +25 other locations
Freshworks,3.4,812,7.3k,Software Product | Chennai +46 other locations
Principal Global Services,3.6,813,6.1k,Insurance | Pune +11 other locations
Syneos Health,3.6,811,3.7k,Clinical Research | Gurugram +17 other locations
K Raheja Corp,4.2,810,3.2k,Real Estate | Mumbai +16 other locations
Waaree Energies,4.0,811,3.4k,Power | Surat +54 other locations
Advik Hi Tech,3.7,809,3.1k,Auto Components | Pune +30 other locations
Praj Industries,4.0,807,3.3k,Biotechnology | Pune +46 other locations
Vastu Housing Finance,4.2,807,2.2k,NBFC | Mumbai +174 other locations
Bill Gosling Outsourcing India,3.5,806,2.9k,Gurugram +13 other locations
Prama Hikvision India,3.5,805,3.1k,Electronics Manufacturing | Mumbai +56 other locations
Investors Clinic,3.6,804,1.6k,Real Estate | Noida +35 other locations
Vijaya Diagnostic Centre,3.8,804,2.2k,Healthcare | Hyderabad +40 other locations
Qualitest,3.6,804,6.9k,IT Services & Consulting | Bengaluru +22 other locations
JK Paper,3.8,802,2.8k,Pulp & Paper | Rayagada +52 other locations
Fluor Corporation,4.1,800,1.8k,Engineering & Construction | Gurugram +24 other locations
Eveready Industries,3.9,798,2.4k,Consumer Electronics & Appliances | Kolkata +111 other locations
Border Security Force,4.4,796,1.4k,Law Enforcement & Security | New Delhi +112 other locations
Zidio Development,4.4,796,107,IT Services & Consulting | Bengaluru +35 other locations
PUMA,4.1,795,2.6k,Fashion & Textile | Bengaluru +100 other locations
Shivalik Small Finance Bank,4.1,795,1.7k,Banking | Noida +42 other locations
RenewBuy,3.3,795,2.9k,Internet | Gurugram +107 other locations
Chennai Radha Engineering Works,3.9,795,2.3k,Engineering & Construction | Chennai +58 other locations
Intex Technologies,3.7,793,1.5k,Consumer Electronics & Appliances | New Delhi +77 other locations
IFFCO,4.1,793,1.9k,Agro Chemicals | New Delhi +117 other locations
Prince Pipes & Fittings,4.2,793,2.5k,Building Material | Mumbai +85 other locations
Dineshchandra R. Agrawal Infracon,4.0,796,2.6k,Engineering & Construction | Ahmedabad +82 other locations
Aequs,3.4,794,3.5k,Defence & Aerospace | Belagavi +13 other locations
Hitachi,3.9,793,4.8k,Industrial Machinery | Bengaluru +88 other locations
Ramkrishna Forgings,3.4,793,3k,Auto Components | Jamshedpur +28 other locations
THE LEELA PALACES HOTELS & RESORTS,4.0,792,2.3k,Hospitality | New Delhi +33 other locations
Wipro Consumer Care & Lighting,3.7,793,3.7k,FMCG | Bengaluru +118 other locations
Patel Infrastructure Limited,4.3,792,2.1k,Engineering & Construction | Vadodara +60 other locations
Novac Technology Solutions,3.5,791,5.4k,Software Product | Chennai +24 other locations
Credence Resource Management,3.0,791,3.2k,BPO | Pune +9 other locations
Somany Ceramics,4.2,791,2.7k,Building Material | New Delhi +87 other locations
Maveric Systems,3.3,791,7.3k,IT Services & Consulting | Chennai +11 other locations
Reliance BP Mobility,3.6,790,2.8k,Oil & Gas | Mumbai +104 other locations
Zuventus Healthcare,3.9,790,2.2k,Pharma | Mumbai +99 other locations
Rallis India,4.0,790,2.5k,Agro Chemicals | Ankleshwar +120 other locations
Franklin Templeton Investments,3.8,789,3.9k,Financial Services | Hyderabad +33 other locations
Ugro Capital,3.7,788,2.8k,NBFC | Mumbai +168 other locations
Indo Autotech,3.9,788,2.8k,Auto Components | Faridabad +34 other locations
Universal Sompo General Insurance,4.3,787,2.2k,Insurance | Mumbai +125 other locations
Amber Enterprises India,3.9,789,3k,Electronics Manufacturing | Gurugram +44 other locations
AISIN,4.1,788,2.7k,Auto Components | Rohtak +27 other locations
Careernet,3.6,786,4.6k,Recruitment | Bengaluru +24 other locations
Engineers India,4.2,786,3.4k,Engineering & Construction | New Delhi +84 other locations
Cigniti Technologies,3.8,785,6.8k,IT Services & Consulting | Hyderabad +9 other locations
Microtek International,3.7,784,2.7k,Consumer Electronics & Appliances | New Delhi +119 other locations
NTT,3.8,783,4.9k,IT Services & Consulting | Mumbai +43 other locations
Nippon Koei India,4.7,784,1.3k,Engineering & Construction | New Delhi +70 other locations
Ask Automotive,4.2,783,3k,Auto Components | Gurugram +29 other locations
Jai Balaji Group,3.2,783,3.1k,Iron & Steel | Durgapur +41 other locations
Radical Minds,2.9,783,2.7k,BPO | Gurugram +13 other locations
Ask Automotive,4.2,783,3k,Auto Components | Gurugram +29 other locations
Ascendion,3.2,784,4k,IT Services & Consulting | Bengaluru +16 other locations
Action Construction Equipment,3.7,781,2.8k,Industrial Machinery | Faridabad +59 other locations
Petpooja,4.0,781,1.8k,Software Product | Ahmedabad +76 other locations
Edubridge Learning,3.9,781,1.3k,EdTech | Mumbai +63 other locations
First Advantage,3.4,780,4.7k,Recruitment | Bengaluru +12 other locations
Skill Lync,3.1,780,3.5k,EdTech | Chennai +17 other locations
Denave,3.5,780,2.8k,Marketing & Advertising | Noida +71 other locations
Hilti,3.4,779,3.7k,Industrial Machinery | Gurugram +48 other locations
Axtria,2.8,778,7.6k,Software Product | Gurugram +8 other locations
Progressive Infotech,3.3,778,2.7k,IT Services & Consulting | Noida +68 other locations
Allied Digital Services,3.1,778,3.4k,IT Services & Consulting | Mumbai +57 other locations
